NUTS1;NUTS2;SEX;GIVEN_NAME;NUMBER;REF_YEAR
AT3;AT33;1;Jonas;24;2016
AT3;AT33;1;Leonie;24;2016
AT3;AT33;1;Julian;23;2016
AT3;AT33;1;Max;23;2016
AT3;AT33;1;Gabriel;21;2016
AT3;AT33;1;Lorenz;21;2016
AT3;AT33;1;Sebastian;20;2016
AT3;AT33;1;Anton;19;2016
AT3;AT33;1;Daniel;19;2016
AT3;AT33;1;Eva;19;2016
AT3;AT33;1;Julia;19;2016
AT3;AT33;1;Benjamin;18;2016
AT3;AT33;1;Ella;18;2016
AT3;AT33;1;Greta;18;2016
AT3;AT33;1;Michael;18;2016
AT3;AT33;1;Theresa;18;2016
AT3;AT33;1;Valentin;18;2016
AT3;AT33;1;Dominik;17;2016
AT3;AT33;1;Lina;17;2016
AT3;AT33;1;Luisa;17;2016
AT3;AT33;1;Ben;16;2016
AT3;AT33;1;Jana;16;2016
AT3;AT33;1;Johanna;16;2016
AT3;AT33;1;Luca;16;2016
AT3;AT33;1;Niklas;16;2016
AT3;AT33;1;Nina;16;2016
AT3;AT33;1;Isabella;15;2016
AT3;AT33;1;Katharina;15;2016
AT3;AT33;1;Klara;15;2016
AT3;AT33;1;Linda;15;2016
AT3;AT33;1;Maria;15;2016
AT3;AT33;1;Nora;15;2016
AT3;AT33;1;Elena;14;2016
AT3;AT33;1;Johannes;14;2016
AT3;AT33;1;Magdalena;14;2016
AT3;AT33;1;Nico;14;2016
AT3;AT33;1;Adrian;13;2016
AT3;AT33;1;Josef;13;2016
AT3;AT33;1;Lilly;13;2016
AT3;AT33;1;Lorena;13;2016
AT3;AT33;1;Liam;12;2016
AT3;AT33;1;Mona;12;2016
AT3;AT33;1;Paula;12;2016
AT3;AT33;1;Rosa;12;2016
AT3;AT33;1;Andreas;11;2016
AT3;AT33;1;Anna-Lena;11;2016
AT3;AT33;1;Linus;11;2016
AT3;AT33;1;Lisa;11;2016
AT3;AT33;1;Martin;11;2016
AT3;AT33;1;Thomas;11;2016
AT3;AT33;1;Alina;10;2016
AT3;AT33;1;Miriam;10;2016
AT3;AT33;1;Vincent;10;2016
AT3;AT33;1;Antonia;9;2016
AT3;AT33;1;Elina;9;2016
AT3;AT33;1;Franziska;9;2016
AT3;AT33;1;Helena;9;2016
AT3;AT33;1;Manuel;9;2016
AT3;AT33;1;Marcel;9;2016
AT3;AT33;1;Amelie;8;2016
AT3;AT33;1;Annika;8;2016
AT3;AT33;1;Elif;8;2016
AT3;AT33;1;Elisa;8;2016
AT3;AT33;1;Elisabeth;8;2016
AT3;AT33;2;Anna;55;2016
AT3;AT33;2;David;55;2016
AT3;AT33;2;Sophia;50;2016
AT3;AT33;2;Maximilian;48;2016
AT3;AT33;2;Emma;47;2016
AT3;AT33;2;Felix;45;2016
AT3;AT33;2;Lukas;45;2016
AT3;AT33;2;Jakob;41;2016
AT3;AT33;2;Tobias;38;2016
AT3;AT33;2;Hannah;37;2016
AT3;AT33;2;Elias;35;2016
AT3;AT33;2;Jonas;35;2016
AT3;AT33;2;Marie;35;2016
AT3;AT33;2;Alexander;33;2016
AT3;AT33;2;Lena;32;2016
AT3;AT33;2;Leo;32;2016
AT3;AT33;2;Leon;32;2016
AT3;AT33;2;Paul;32;2016
AT3;AT33;2;Moritz;31;2016
AT3;AT33;2;Raphael;31;2016
AT3;AT33;2;Laura;30;2016
AT3;AT33;2;Matthias;30;2016
AT3;AT33;2;Samuel;30;2016
AT3;AT33;2;Julia;28;2016
AT3;AT33;2;Julian;28;2016
AT3;AT33;2;Sarah;28;2016
AT3;AT33;2;Fabian;27;2016
AT3;AT33;2;Lea;27;2016
AT3;AT33;2;Sebastian;27;2016
AT3;AT33;2;Emilia;26;2016
AT3;AT33;2;Emily;26;2016
AT3;AT33;2;Noah;26;2016
AT3;AT33;2;Max;25;2016
AT3;AT33;2;Magdalena;24;2016
AT3;AT33;2;Daniel;23;2016
AT3;AT33;2;Florian;23;2016
AT3;AT33;2;Luca;23;2016
AT3;AT33;2;Matteo;23;2016
AT3;AT33;2;Valentina;23;2016
AT3;AT33;2;Simon;22;2016
AT3;AT33;2;Johannes;21;2016
AT3;AT33;2;Luisa;21;2016
AT3;AT33;2;Maria;20;2016
AT3;AT33;2;Katharina;19;2016
AT3;AT33;2;Luis;19;2016
AT3;AT33;2;Leonie;18;2016
AT3;AT33;2;Lorenz;18;2016
AT3;AT33;2;Philipp;18;2016
AT3;AT33;2;Johanna;17;2016
AT3;AT33;2;Lina;17;2016
AT3;AT33;2;Mia;17;2016
AT3;AT33;2;Paula;17;2016
AT3;AT33;2;Elena;16;2016
AT3;AT33;2;Isabella;16;2016
AT3;AT33;2;Josef;16;2016
AT3;AT33;2;Lara;16;2016
AT3;AT33;2;Theresa;16;2016
AT3;AT33;2;Andreas;15;2016
AT3;AT33;2;Manuel;15;2016
AT3;AT33;2;Michael;15;2016
AT3;AT33;2;Nora;15;2016
AT3;AT33;2;Dominik;14;2016
AT3;AT33;2;Klara;14;2016
AT3;AT33;2;Leni;14;2016
AT3;AT33;2;Liam;14;2016
AT3;AT33;2;Sophie;14;2016
AT3;AT33;2;Alina;13;2016
AT3;AT33;2;Anton;13;2016
AT3;AT33;2;Kilian;13;2016
AT3;AT33;2;Nina;13;2016
AT3;AT33;2;Amelie;12;2016
AT3;AT33;2;Anna-Lena;12;2016
AT3;AT33;2;Fabio;12;2016
AT3;AT33;2;Gabriel;12;2016
AT3;AT33;2;Helena;12;2016
AT3;AT33;2;Lisa;12;2016
AT3;AT33;2;Lorena;12;2016
AT3;AT33;2;Niklas;12;2016
AT3;AT33;2;Antonia;11;2016
AT3;AT33;2;Ben;11;2016
AT3;AT33;2;Benjamin;11;2016
AT3;AT33;2;Eva;11;2016
AT3;AT33;2;Miriam;11;2016
AT3;AT33;2;Ella;10;2016
AT3;AT33;2;Jana;10;2016
AT3;AT33;2;Jonathan;10;2016
AT3;AT33;2;Livia;10;2016
AT3;AT33;2;Marcel;10;2016
AT3;AT33;2;Christoph;9;2016
AT3;AT33;2;Finn;9;2016
AT3;AT33;2;Laurin;9;2016
AT3;AT33;2;Linda;9;2016
AT3;AT33;2;Marco;9;2016
AT3;AT33;2;Martin;9;2016
AT3;AT33;2;Mona;9;2016
AT3;AT33;2;Rosa;9;2016
AT3;AT33;2;Selina;9;2016
AT3;AT33;2;Thomas;9;2016
AT3;AT33;2;Flora;8;2016
AT3;AT33;2;Hannes;8;2016
